Name, Type, primtive type,size/ArrayDimensions,Function Input Type, Function Output Type, Scope,Offset
Main,class,,16,,,global,0
fil,identifier,int,8,,,global_class,0
main,Method,,0,String[],void,global_class,0
t1{-8},temp,,0,,,global_class,-8
a,array,int,5,,,global_class_Method,-24
args,array,,0,,,global_class_Method,16
for,for,,0,,,global_class_Method,0
t2{-8},temp,,0,,,global_class_Method,-8
t3{-16},temp,,0,,,global_class_Method,-16
for,for,,0,,,global_class_Method_for,0
i,identifier,int,8,,,global_class_Method_for,-72
t10{-120},temp,,0,,,global_class_Method_for,-120
t4{-64},temp,,0,,,global_class_Method_for,-64
t5{-80},temp,,0,,,global_class_Method_for,-80
t6{-88},temp,,0,,,global_class_Method_for,-88
t7{-96},temp,,0,,,global_class_Method_for,-96
t8{-104},temp,,0,,,global_class_Method_for,-104
t9{-112},temp,,0,,,global_class_Method_for,-112
j,identifier,int,8,,,global_class_Method_for_for,-136
k,identifier,int,8,,,global_class_Method_for_for,-200
t11{-128},temp,,0,,,global_class_Method_for_for,-128
t12{-144},temp,,0,,,global_class_Method_for_for,-144
t13{-152},temp,,0,,,global_class_Method_for_for,-152
t14{-160},temp,,0,,,global_class_Method_for_for,-160
t15{-168},temp,,0,,,global_class_Method_for_for,-168
t16{-176},temp,,0,,,global_class_Method_for_for,-176
t17{-184},temp,,0,,,global_class_Method_for_for,-184
t18{-192},temp,,0,,,global_class_Method_for_for,-192
t25{-256},temp,,0,,,global_class_Method_for_for,-256
while,while,,0,,,global_class_Method_for_for,0
t19{-208},temp,,0,,,global_class_Method_for_for_while,-208
t20{-216},temp,,0,,,global_class_Method_for_for_while,-216
t21{-224},temp,,0,,,global_class_Method_for_for_while,-224
t22{-232},temp,,0,,,global_class_Method_for_for_while,-232
t23{-240},temp,,0,,,global_class_Method_for_for_while,-240
t24{-248},temp,,0,,,global_class_Method_for_for_while,-248
